region_id,region_name,year,indicator,value,status,source_name,source_url,indicator_code,version_date,method,note
kalmykia,Республика Калмыкия,2021,emissions_per_gdp,0.04,derived_from_official,Росстат / tochno.st,https://storage.yandexcloud.net/tochno-st-catalog/Rosstat/data_regions_collection_102_v20260313/data_07_socio_economic_102_v20260313.zip; https://storage.yandexcloud.net/tochno-st-catalog/Rosstat/data_regions_collection_102_v20260313/data_08_socio_economic_102_v20260313.zip,Y477110053; Y477110005,v20260313,computed from official source rows,"Выбросы, тыс. тонн / ВРП, млрд руб. = тонн на 1 млн руб. ВРП. Для 2024 нужен официальный ВРП-2024."
kalmykia,Республика Калмыкия,2022,unemployment_rate,8.1,official,Регионы России. Социально-экономические показатели 2024,https://storage.yandexcloud.net/tochno-st-catalog/Rosstat/data_regions_collection_102_v20260313/data_02_socio_economic_102_v20260313.zip,Y477110418,v20260313,official,"Уровень безработицы по данным выборочных обследований рабочей силы, %"
kalmykia,Республика Калмыкия,2022,avg_salary,36.3,official,Регионы России. Социально-экономические показатели 2023,https://storage.yandexcloud.net/tochno-st-catalog/Rosstat/data_regions_collection_102_v20260313/data_03_socio_economic_102_v20260313.zip,Y477110378,v20260313,official / 1000,Среднемесячная номинальная начисленная зарплата работников организаций: руб. -> тыс. руб.
kalmykia,Республика Калмыкия,2022,gdp_per_capita,451.2,official,Регионы России. Социально-экономические показатели 2025,https://storage.yandexcloud.net/tochno-st-catalog/Rosstat/data_regions_collection_102_v20260313/data_08_socio_economic_102_v20260313.zip,Y477110006,v20260313,official / 1000,ВРП на душу населения: руб. -> тыс. руб.; в текущей коллекции ряд доступен до 2023 года.
kalmykia,Республика Калмыкия,2022,investment_per_capita,59.6,official,Регионы России. Социально-экономические показатели 2024,https://storage.yandexcloud.net/tochno-st-catalog/Rosstat/data_regions_collection_102_v20260313/data_10_socio_economic_102_v20260313.zip,Y477110108,v20260313,official / 1000,Инвестиции в основной капитал на душу населения: руб. -> тыс. руб.
kalmykia,Республика Калмыкия,2022,poverty_rate,20.6,official,Регионы России. Социально-экономические показатели 2025,https://storage.yandexcloud.net/tochno-st-catalog/Rosstat/data_regions_collection_102_v20260313/data_03_socio_economic_102_v20260313.zip,Y477110463,v20260313,official,"Доля населения с денежными доходами ниже границы бедности / величины прожиточного минимума, %."
kalmykia,Республика Калмыкия,2022,higher_education_share,3.3,official_proxy,Регионы России. Социально-экономические показатели 2023,https://storage.yandexcloud.net/tochno-st-catalog/Rosstat/data_regions_collection_102_v20260313/data_04_socio_economic_102_v20260313.zip,Y477110485,v20260313,official proxy / 100,Прокси: студенты программ бакалавриата/специалитета/магистратуры на 10000 человек населения / 100. Это не точный показатель 'доля занятого населения с высшим образованием'.
kalmykia,Республика Калмыкия,2022,migration_growth,-60.0,official,Регионы России. Социально-экономические показатели 2023,https://storage.yandexcloud.net/tochno-st-catalog/Rosstat/data_regions_collection_102_v20260313/data_01_socio_economic_102_v20260313.zip,Y477110197,v20260313,official,Коэффициент миграционного прироста на 10000 человек населения; в текущей коллекции ряд доступен до 2023 года.
kalmykia,Республика Калмыкия,2022,roads_per_area,51.6,official,Регионы России. Социально-экономические показатели 2024,https://storage.yandexcloud.net/tochno-st-catalog/Rosstat/data_regions_collection_102_v20260313/data_16_socio_economic_102_v20260313.zip,Y477110295,v20260313,official,"Плотность автомобильных дорог общего пользования с твердым покрытием, км дорог на 1000 км2 территории."
kalmykia,Республика Калмыкия,2022,rd_spending_pct_gdp,0.13,derived_from_official,Росстат / tochno.st,https://storage.yandexcloud.net/tochno-st-catalog/Rosstat/data_regions_collection_102_v20260313/data_18_socio_economic_102_v20260313.zip; https://storage.yandexcloud.net/tochno-st-catalog/Rosstat/data_regions_collection_102_v20260313/data_08_socio_economic_102_v20260313.zip,Y477110039; Y477110005,v20260313,computed from official source rows,Внутренние затраты на НИОКР / ВРП * 100. Для 2024 нужен официальный ВРП-2024.
kalmykia,Республика Калмыкия,2022,emissions_per_gdp,0.03,derived_from_official,Росстат / tochno.st,https://storage.yandexcloud.net/tochno-st-catalog/Rosstat/data_regions_collection_102_v20260313/data_07_socio_economic_102_v20260313.zip; https://storage.yandexcloud.net/tochno-st-catalog/Rosstat/data_regions_collection_102_v20260313/data_08_socio_economic_102_v20260313.zip,Y477110053; Y477110005,v20260313,computed from official source rows,"Выбросы, тыс. тонн / ВРП, млрд руб. = тонн на 1 млн руб. ВРП. Для 2024 нужен официальный ВРП-2024."
kalmykia,Республика Калмыкия,2023,unemployment_rate,6.5,official,Регионы России. Социально-экономические показатели 2024,https://storage.yandexcloud.net/tochno-st-catalog/Rosstat/data_regions_collection_102_v20260313/data_02_socio_economic_102_v20260313.zip,Y477110418,v20260313,official,"Уровень безработицы по данным выборочных обследований рабочей силы, %"
kalmykia,Республика Калмыкия,2023,avg_salary,42.2,official,Регионы России. Социально-экономические показатели 2024,https://storage.yandexcloud.net/tochno-st-catalog/Rosstat/data_regions_collection_102_v20260313/data_03_socio_economic_102_v20260313.zip,Y477110378,v20260313,official / 1000,Среднемесячная номинальная начисленная зарплата работников организаций: руб. -> тыс. руб.
